user_id,first_name,last_name,date_of_birth,residence,email,phone_number,passw,account_status,rating,nrating
1,Anthony,Adams,1972-04-06,New Clinton,pricesheryl@example.org,001-989-225-2977x367,$8t2fEJsJ3,disabled,5,368
2,Rodney,Williams,1989-10-11,Port Frank,taylorcatherine@example.net,+1-454-307-8613x26742,@9CPb%zNt%,active,4,230
3,Donald,Pittman,1955-01-27,Coxmouth,laurawalker@example.net,(539)353-1526,n#1eb4YzSL,active,5,148
4,Jason,Smith,1974-02-07,Schwartzland,imelton@example.com,001-723-974-1438x5806,%gjb*4WnM@,active,2,299
5,Michelle,Rogers,1976-12-24,New Jaime,qlawson@example.net,686-548-8236x68319,^*FuT*AW52,disabled,4,228
6,Craig,Smith,1959-09-13,New Adamfort,oboyd@example.com,+1-660-494-3615x6890,%1T+NMz(p2,active,3,172
7,Lisa,Rojas,1985-07-02,Krausemouth,victor90@example.net,+1-587-882-8885x8159,%v(Wrun2$0,disabled,1,209
8,Robert,Price,2000-03-07,Port Linda,terrencejefferson@example.com,001-715-334-4022x42703,Z#*4FFjpJm,disabled,3,296
9,Linda,Cantu,1959-04-04,South Davidborough,mercadobill@example.com,897-369-4219,sR^%5Dum5P,active,4,297
10,Douglas,Wang,1972-08-10,Lake Joshuafurt,melaniepark@example.net,(467)700-2401,#AjL^7Vfx_,active,2,74
11,Diana,Johnson,1970-03-11,Port Connieland,emitchell@example.org,280.518.7423x692,$niCDZ*nH7,disabled,3,295
12,Nicole,Hill,1993-12-17,Claytonland,jasonsingleton@example.net,+1-748-657-1816x9417,$6^(@5Vkxr,active,3,324
13,Kellie,Lee,1974-08-08,Davisfurt,sbauer@example.org,459.752.8964x596,zP#3SgPwe$,active,3,133
14,Karen,Murphy,1995-09-15,Baileyshire,holly22@example.org,5255819994,)3L(JjhVIu,disabled,3,217
15,Janet,Stokes,1992-07-17,South Cindy,cwilliams@example.org,001-592-339-9218x216,@KTbs3Rp3W,active,5,212
16,Christy,Smith,1999-06-18,North Joshua,lhoffman@example.org,5817651699,5o6bHa(n+D,disabled,1,318
17,Brianna,Myers,1991-01-22,Lindaville,kristin19@example.org,520-302-4769,BU3w7PsgN+,active,3,206
18,Susan,Johnson,1979-07-24,North Angela,boydshane@example.com,(559)896-6462,#F3D^ugN&*,active,3,168
19,Andrew,Silva,1955-02-04,Juliebury,mcconnellvickie@example.com,561-531-9738,W)0D9ptKKQ,disabled,5,256
20,William,Stevenson,1990-07-06,West Thomasland,imoore@example.org,(212)534-1603x2387,!lr4&NAnIq,active,1,307
21,Susan,Crawford,1992-03-16,West Julie,alishaguzman@example.org,(835)818-2103,qN0dVdeQ^j,disabled,2,188
22,Alisha,West,1977-10-13,South Charles,honicholas@example.com,(531)752-6400x034,8*%NMRwt&4,disabled,1,333
23,Steve,Ware,1990-10-07,North Brian,imelton@example.com,(438)375-4015x7691,u_1UaVtb@p,active,4,22
24,Ronald,Foster,1965-07-21,East Janicemouth,taylorannette@example.net,(613)720-9784,b*3HBSfT@y,active,2,31
25,Holly,Chapman,1963-01-24,Martinport,vbarnes@example.net,(556)367-6960x29918,%^E1G7Zu0Z,disabled,5,218
26,Jordan,Oconnor,2000-06-15,East Walter,delacruzbilly@example.net,+1-737-780-5648x87771,Zb%9uZ%xl7,active,1,280
27,Barbara,Stone,1975-08-22,Dennisshire,joannamartinez@example.org,001-839-475-3372x185,%$47FZNkaj,active,5,99
28,Brittany,Moss,1988-01-30,Sosachester,edward36@example.com,001-977-555-0290,F^a%Q9P_Bv,active,4,294
29,Alexander,Callahan,2001-02-04,Lake Justin,seanwilson@example.org,214-747-7589,r&qf+K6D)3,active,1,212
30,John,Moore,1955-12-12,New Josephtown,clayton71@example.com,(837)215-6663x67126,SY2kqfRlp!,active,1,179
31,Diane,Hood,1971-01-23,Lake Christy,leahwilson@example.net,(543)504-6419,m)$sj7Bp1Z,active,4,364
32,Patrick,Green,1983-03-20,West Jennifer,herreranicholas@example.net,001-402-328-8561,(l#PSGoJ5D,active,4,146
33,Kevin,Freeman,1990-12-24,North Michellechester,alfredhamilton@example.com,359-318-4335x91996,#cWgH$utw5,disabled,2,105
34,Matthew,Lee,1981-04-03,Tranberg,krista63@example.com,432.548.8059x93233,@08(YgZK#H,disabled,4,137
35,Beth,Franco,1988-05-23,Christopherside,jennifermccormick@example.org,+1-669-370-6103x55834,tje1DWRpY^,disabled,4,179
36,Julie,Murphy,1993-01-12,Douglastown,hmoran@example.org,856-854-7789,0jQ^B$4S+5,active,2,160
37,Jonathan,Lewis,1968-03-22,East Matthew,andrewmyers@example.net,779.964.6051x005,1PC6lA%x1%,active,4,342
38,Jennifer,Munoz,2000-11-07,Jeffreyshire,craig58@example.com,655-223-9183x2663,f4NmeUQv#r,disabled,1,51
39,Robert,Patterson,1993-06-13,North Michaelfort,martinezjenna@example.org,(472)730-8806x45696,b#2Fwixk%!,active,2,241
40,William,Morris,1962-11-05,North Deannafort,greenejean@example.com,969-443-1496x60507,PX0TYygZ((,disabled,2,393
41,Heather,Williams,1979-10-10,Port Cassiestad,hurstelizabeth@example.org,425.890.8073,I5lfkYLqL@,active,3,29
42,Shelby,Silva,1995-09-23,Ingrambury,hadams@example.com,389-337-4457,)!0%gNramp,disabled,1,191
43,Michael,Doyle,2002-07-02,North Sarah,lisamartinez@example.org,001-363-909-8797x0381,%#AOaF3&54,active,5,189
44,Christopher,Smith,1978-04-26,Thomasland,romeroandrew@example.org,(721)930-2895x462,*nuW8Hakt9,active,4,391
45,Monica,Martin,1999-05-28,Burgesshaven,ewalton@example.net,421.799.0222x431,+n9v@QcyMJ,active,1,218
46,Kevin,Salas,1985-09-21,Lake Kimberlyshire,marissathomas@example.com,001-215-610-4671x770,_Y0JyiHXQW,disabled,2,376
47,Craig,Vaughan,1967-03-27,Port Justin,salazaranthony@example.net,(706)380-6718x18744,(0_7BugEYW,disabled,2,380
48,Douglas,Hill,1970-03-14,Kerrburgh,stacywalker@example.org,8132678658,4jz42BN(_r,disabled,2,48
49,Barry,Jackson,1996-12-06,Nancyborough,garrettamber@example.org,+1-249-852-1750x9400,L2zS(6Erp(,active,4,11
50,Joseph,Taylor,1995-05-14,Stricklandton,hughesmark@example.com,586-872-9325,O6Sq6E#h&T,active,1,108
