user_id,first_name,last_name,date_of_birth,residence,email,phone_number,passw,account_status,rating,nrating
1,Michael,Carlson,12/04/2002,Smithborough,gburnett@example.net,779-945-1645x45225,FC7JLe&kV(,active,2,57
2,Gary,Murphy,02/02/1956,Ginastad,daniellethompson@example.net,(494)853-7748x39983,@#QC6Jbg8B,disabled,5,57
3,Robert,Hines,23/06/1974,New Carmentown,anthony11@example.com,-6953,a@F2IOhw6P,disabled,3,57
4,Calvin,Johnston,11/12/1968,Lake Cynthia,amberhuff@example.org,9237740873,pX@h6G_xFm,disabled,3,57
5,Cole,Maynard,09/07/1974,Pruittmouth,imontgomery@example.net,277.431.7863,7$NW6usl_F,disabled,5,57
6,Angela,Garcia,21/01/1980,Lake Jeffery,elijah40@example.net,824-833-9025x88192,9KQ_8NAq%e,disabled,5,57
7,Brenda,Gibbs,14/03/1977,Karenfurt,harry98@example.net,+1-606-445-9112x731,&8G8Sv1It6,disabled,3,57
8,Kimberly,Flores,30/09/1958,West Kiara,michaelwashington@example.com,973-889-4622x645,(r^$5Yy2rN,active,5,57
9,Gary,Mccarthy,17/12/1966,Torresport,lawrence02@example.net,(600)647-2886,u$Y1Ip8g#),active,5,57
10,Dakota,Velazquez,14/02/1955,Michaelchester,udavis@example.org,(792)358-9014,S4EU@ik6^E,active,3,57
11,Tammy,Jefferson,17/05/1983,Lake Kristenberg,kellicase@example.net,001-781-292-4030,%t1VrtpHwE,active,5,57
12,Crystal,Smith,06/08/1976,Mccoyshire,garcialaura@example.org,-8433,Bc5VPLU8!2,active,2,57
13,Jamie,Moore,31/08/1989,Lake Wesleychester,aprilmann@example.net,787.509.5661,!af1AOzekM,disabled,1,57
14,Tyler,Barry,06/12/1984,North Meganmouth,kenneth40@example.org,+1-263-273-0154x08614,SEKwPJ2+(8,active,3,57
15,Denise,Garcia,24/11/1971,East Patricialand,carmen53@example.net,956.235.0945,%4qT6gap_U,disabled,5,57
16,Jerry,Hernandez,14/11/1981,Port Ericaland,pflowers@example.net,001-558-371-0560,ua6^Lzzz*^,disabled,2,57
17,Amy,Williamson,28/02/1986,Port Joseph,matthew12@example.net,5764897257,A%@jO6Nj%w,disabled,3,57
18,Erica,Evans,15/11/1990,Lake Michaelstad,michellenixon@example.org,421-913-1002,#gYIuHUm1d,disabled,4,57
19,Leslie,Brady,13/09/1983,Port Loribury,scott91@example.com,(933)436-5289x9823,Bu7zbZVS9&,active,3,57
20,Kevin,Smith,23/11/1979,North Frank,jasmine68@example.org,269-740-1165x73245,qj0fXynJ$l,disabled,2,57
21,Barbara,Turner,20/09/1976,Whiteview,claytoncolton@example.org,(777)778-1216,^6QB)U$pal,disabled,2,57
22,Tyler,Murillo,08/06/1993,South Shelby,erin75@example.org,553.240.4632x066,vE5X7HXie^,active,2,57
23,Arthur,Silva,02/09/1956,Lake Leah,ericmeza@example.com,341.639.8567x50129,a)Y9aPuOHy,active,5,57
24,Christina,Morgan,18/02/2000,Orrburgh,larry38@example.org,(844)964-8734x86404,n5SLSV$I(r,disabled,5,57
25,Diamond,King,19/04/2000,Brianmouth,vanessachambers@example.com,8658950858,*4&ClQyiBs,active,5,57
26,Ian,Wilcox,27/02/2004,East Aliciahaven,wrightjamie@example.net,(400)231-7296x610,_6IQAytu^Y,active,2,57
27,Megan,Lawson,09/12/1969,East Brandon,mariahouston@example.com,(320)920-3389,_WR#Qmc@@9,active,4,57
28,Monica,Little,28/07/1988,Brownborough,alyssa36@example.com,6734543918,5$M4qOMj8k,active,5,57
29,Andrew,Anderson,20/08/2005,Port Larry,dominique70@example.org,(920)874-3952x645,(pHWEWAf3R,active,3,57
30,Jared,Rivera,04/05/1972,West Mary,christian65@example.net,+1-952-582-9705x88208,_5SK^$oa)*,disabled,4,57
